LastName*,FirstName*,Age*,Kids*,Married,SocialSecurityNum*
PITTMAN,NUMBERS,010,03,1,091660934
HOOD,ZORAIDA,047,01,0,028952991
WOOD,ERICK,029,01,1,409645395
ALLEN,ALAINA,033,03,0,510504938
MCLAUGHLIN,EDITH,055,03,0,089371694
HAHN,LARA,064,03,1,667615781
MCGUIRE,PHILLIP,049,02,0,011952223
STANTON,SHARDA,006,03,0,202669281
FOX,LOUIE,028,00,1,212694262
PENA,SHERRY,059,03,1,769413168
VARGAS,CYNDI,058,00,0,001559878
MARKS,QUEEN,029,00,0,118289956
WOLF,SHARICE,029,00,1,169896669
CARR,MOIRA,011,00,1,641184734
HANSEN,BRITT,073,01,1,023232897
SHAH,AGRIPINA,002,02,1,708523839
ACEVEDO,SID,051,03,1,018059860
RIVERA,JERALD,021,02,0,075290502
SANDOVAL,DALLAS,024,01,0,023699192
RUBIO,HEIKE,022,02,0,020602445
CALHOUN,FELICIA,007,03,1,422146615
BALDWIN,TAMAR,056,00,0,347489248
CASTANEDA,LAVERNA,015,01,0,259386506
GARRETT,HERSCHEL,050,01,0,203214359
DODSON,MARIO,014,03,0,003223712
CARROLL,ALESHA,025,02,1,198467057
HOGAN,BERTIE,052,01,0,020483708
MEZA,KRISTIAN,096,01,1,058272235
BRIDGES,ALVERTA,077,00,1,835885596
BRUCE,SALLEY,013,01,1,151648910
RODRIGUEZ,VALDA,083,03,1,285595693
WHITE,LUETTA,013,00,1,318105066
DOWNS,DIONNA,061,00,0,019537822
SANCHEZ,TRAN,043,02,1,469119088
CABRERA,JANELLE,039,06,1,384581261
RIVERA,EMELINE,017,03,1,351748257
COSTA,DENNIS,015,03,0,183576703
MORRIS,JEANICE,007,02,0,066912495
HESS,MARCI,034,00,1,437946198
EVERETT,AMPARO,027,03,0,724058503
HATFIELD,DICK,022,01,1,194712222
GRAY,ARLYNE,050,02,1,238800931
SHAW,ELDA,063,00,0,046372909
CROSBY,LISANDRA,032,01,1,127636568
LANE,JAN,036,02,1,215122815
DALTON,DAPHINE,043,01,0,142473887
CUNNINGHAM,FAIRY,048,01,0,193575053
SUTTON,DELMY,023,04,1,104035294
MARKS,MINNIE,031,02,1,235618626
HINTON,TERINA,054,01,0,296355058
GALLEGOS,QUENTIN,033,03,1,028776990
VANG,WENONA,033,03,1,028600453
SHEA,CLARITA,029,02,0,216144881
PATEL,OCTAVIA,050,01,0,061742393
RITTER,ELNORA,009,00,0,626637611
GIBSON,KELLY,032,00,0,370867385
MULLINS,CAMI,027,03,1,001941790
BALDWIN,LIA,103,00,0,500782369
FOLEY,WILLODEAN,018,00,0,005158690
MOSS,IGNACIA,022,00,1,097905132
CHAPMAN,SOMER,016,00,1,166300749
WATKINS,RONNA,096,03,0,086562566
CHRISTENSEN,JOYA,032,00,0,287747115
REILLY,CELESTE,041,05,0,253456960
PRESTON,DANNIELLE,023,03,1,165842355
MADDOX,NICKOLE,058,00,1,077090312
MORTON,EMOGENE,015,00,0,053892676
BUTLER,BETHEL,002,03,0,207459222
MCGUIRE,CELIA,056,00,1,486414466
MITCHELL,JACK,018,02,0,000033714
WALTER,KIRSTIN,020,03,1,044368259
REYNOLDS,DREMA,028,01,0,462820142
SIMS,DESIREE,013,03,0,229477874
GLASS,LAVONIA,024,02,0,457373447
ONEAL,EMORY,024,01,1,782136710
HATFIELD,KACY,069,03,0,123602658
REILLY,MYRLE,028,01,1,236709332
CASTILLO,GENOVEVA,025,08,1,047629215
HUFF,ANDRIA,048,00,1,615684833
SHANNON,MAXIMO,046,01,1,402829804
OWEN,TIFFANIE,080,03,1,251665334
MATHEWS,YASMINE,075,00,1,048434515
LIN,TOSHA,015,01,1,446456054
LYNN,ALEXANDRIA,004,01,0,147155470
KEMP,GASTON,013,02,0,696920194
BLEVINS,CHARLETTE,020,03,0,064510440
GALLAGHER,GREGORY,059,00,1,315576905
PEREZ,ILANA,002,03,1,661129170
GALLAGHER,ANDRE,031,02,1,009843555
RAMIREZ,ELLYN,008,03,0,028010059
SALAZAR,LUDIVINA,060,01,1,045515922
FREEMAN,MAVIS,063,01,1,454648127
DOUGHERTY,JUNIE,024,03,1,307216787
VILLANUEVA,JENIFFER,054,03,1,178741075
PUGH,JACK,041,01,0,417244335
LAM,KRISHNA,049,00,1,036993814
MONTGOMERY,CRISTINE,023,03,1,307318592
FISHER,SIXTA,039,02,0,431249661
OSBORNE,THALIA,056,00,1,108594327
ATKINSON,GISELLE,099,00,0,090861359
SALAS,DONYA,054,01,0,431513654
PATTERSON,TAREN,042,02,1,082039802
EVANS,RONNIE,029,02,0,022812675
FAULKNER,ADELE,019,03,0,110671521
REEVES,HATTIE,031,01,1,044244966
QUINN,JOSEPHINA,050,01,1,552372294
WOOD,KATIA,024,02,0,071465314
FROST,JUNITA,073,02,1,549435627
STEWART,CAYLA,041,02,1,189586754
LLOYD,LEXIE,036,02,0,161806857
DONOVAN,DANILO,041,02,1,018315872
GONZALEZ,SILVANA,113,01,0,239894689
BAILEY,CLARENCE,032,02,1,072111487
HUNTER,MAUDE,011,08,1,357385944
FERNANDEZ,ZITA,014,01,1,784366575
LUCAS,KENDALL,058,02,1,374284549
CHANG,RIKKI,040,03,1,148787940
GROSS,ESTELA,031,01,0,070157266
SHERMAN,ARGELIA,020,03,1,005684272
MERRITT,LATASHIA,043,00,1,001341058
MCCALL,ROXANN,067,01,0,350652461
DYER,ADELAIDE,019,00,1,441310403
FULLER,ARLETTE,034,01,0,021110851
CASTRO,LARISA,048,02,0,390080294
SHEA,EXIE,039,01,1,059197429
MIRANDA,GAYE,026,01,1,495208350
PUGH,CARLOS,013,03,1,190505578
TURNER,ELISHA,045,03,0,452463281
MCCORMICK,MARGIT,048,01,1,003650888
MCMAHON,DONOVAN,001,02,1,168497676
CLAY,SUZY,026,03,1,727654591
HANSON,MALENA,025,01,0,088910861
HORNE,LEILA,026,02,0,026019598
SCHULTZ,SHERY,055,03,1,105038611
EATON,JOELLA,072,02,1,218014565
HOOPER,MELITA,019,00,0,555704535
MEYER,VERLINE,056,03,1,015030623
SOSA,DANE,023,00,1,055122549
FROST,ESTEFANA,006,03,0,028009517
MANNING,TAWNYA,002,03,0,167075785
MACIAS,WESLEY,043,01,1,036403749
GUTIERREZ,EMA,020,00,1,016682241
RIVERA,ROCKY,064,01,1,435579881
DIAZ,BETTE,041,01,1,015091414
ORTIZ,SHERELL,035,04,1,286877527
OCONNELL,YOULANDA,024,01,1,183141022
PAUL,KEVA,058,03,0,326944667
NOLAN,SUSANNA,079,02,1,145554091
THOMPSON,MARCUS,028,01,0,475580141
KELLY,JEANNINE,110,02,0,058036790
MAYS,VANESA,028,02,1,099727690
BARAJAS,YOLANDA,037,00,0,125175540
VALENTINE,DEANDREA,003,01,0,350131931
STONE,REYNALDO,076,03,1,137378668
MORSE,GERRY,048,02,1,710912001
MATHIS,KARLA,053,02,0,253224550
ROGERS,SHEENA,052,01,0,060202018
CARDENAS,EVELINE,074,03,1,005837931
FRANCO,ELWOOD,043,00,0,263460095
VINCENT,HELENA,004,03,1,078694751
SALINAS,TAMMI,003,03,0,121232068
HOLMES,ROCHELLE,043,03,1,433921006
CARTER,JAROD,040,01,0,165581460
GAINES,SHELLIE,030,01,0,548457050
ESCOBAR,ILENE,058,01,0,575862427
ACOSTA,DOUGLASS,075,03,0,421053941
KLINE,OPAL,020,03,0,729287350
HAYDEN,RHONA,004,00,0,001382824
RIGGS,ERLENE,027,00,0,485332741
VANG,TAMMIE,012,03,1,674019700
STEELE,THALIA,055,01,0,495172743
HAMMOND,ANGELIQUE,044,01,1,130028210
PUGH,KATI,028,01,0,048025116
MULLEN,WENDIE,008,02,1,048696664
HORN,CHERISH,031,00,1,892223302
JENNINGS,VENA,045,01,0,345137598
GARRISON,SALINA,037,03,1,504157291
YANG,BRYAN,033,01,1,193237084
BECK,BUENA,042,00,1,317681458
STAFFORD,ARIE,049,01,0,197079093
MEYER,FRANCISCA,004,02,1,223657027
PECK,GRANT,016,02,1,135587217
JEFFERSON,LOVIE,015,02,1,387301595
BUTLER,JACQUELIN,014,01,0,025788712
VALENZUELA,CORINNA,010,00,0,182347381
RODGERS,GREGORY,014,02,1,094304738
BELTRAN,CECILA,030,01,1,131833995
BRADSHAW,SAMUAL,003,01,1,599565928
CAMERON,CHERISH,035,02,0,055765322
FARMER,BLANCH,032,03,1,124387632
SELLERS,CONSUELO,041,00,1,329486463
MCCLURE,AUGUSTINA,007,02,1,069163935
HOWELL,KEVIN,048,00,0,044569781
WHITAKER,TAWNY,103,01,0,421429618
BENSON,CLARITA,004,02,0,002654390
HAMMOND,ANNABELL,009,00,1,066773968
HEATH,JASON,016,01,1,464021407
KNOX,SAMMY,069,03,1,084899459
BOLTON,BARRY,026,00,0,205547377
GLASS,LEANN,054,01,0,237498230
MONTES,LAUNA,057,01,1,263422765
HORNE,JOEANN,058,03,1,214930098
BRADSHAW,TAMMIE,015,03,1,112859956
JEFFERSON,ANNAMAE,069,02,0,007670174
STEIN,HYE,048,02,1,138423749
MILLER,LEONIA,039,02,0,364661605
BARRON,CARMELINA,076,03,1,067671646
DAVIS,EVE,053,01,0,897938633
MAXWELL,BRIGITTE,012,03,0,153508720
STRICKLAND,CORENE,035,03,0,707930566
FRENCH,RACHELE,050,01,0,421719501
MCGEE,MEGHANN,006,03,1,100769839
HUBER,COLLEEN,004,01,0,112942691
COFFEY,LYNDA,033,00,0,308965064
HUMPHREY,MYRTLE,005,02,1,575546485
LARSEN,MARGURITE,040,03,0,441234179
FOX,LUCRETIA,040,00,1,148037135
SCHMITT,MARCELL,037,00,0,004055150
WHITEHEAD,GENE,020,02,1,593378797
HERNANDEZ,VELIA,032,02,1,071334647
GUERRERO,THERESIA,029,02,0,562207059
FIGUEROA,COLTON,010,02,0,010074939
HAYDEN,DIEGO,089,01,1,019562980
BARNETT,TIESHA,010,02,1,126574774
RUBIO,CARRIE,049,00,0,256673545
MUNOZ,WHITLEY,048,02,0,322703851
CARR,CANDIS,052,00,0,427692342
GIBSON,LE,012,02,1,066193156
TAPIA,TRUDI,046,01,0,191624218
HANCOCK,TRACEE,029,02,1,488144101
MCKNIGHT,WILTON,030,02,0,267537627
GALLOWAY,ARIEL,057,01,0,465273413
LONG,MARILU,112,03,1,057221559
HOLT,CIRA,047,00,0,048873963
MORA,KATHE,008,00,0,295715144
PEARSON,DONG,066,01,0,333085702
BURGESS,CARRY,026,01,1,190884845
HUBER,MATHILDA,049,01,1,302661035
SNYDER,ROBERTA,035,01,1,176158797
ROBLES,BRYCE,055,07,0,302933110
BISHOP,COLBY,052,02,1,131207797
WASHINGTON,MINNIE,009,00,1,083745664
BRENNAN,CHERLY,037,01,1,345038938
WIGGINS,SHARAN,038,03,0,181613974
HOWE,SAMATHA,016,00,0,279517165
BARRERA,SYLVIE,043,03,0,826692048
MYERS,ELVIA,058,02,1,752244793
KRAUSE,BIBI,108,00,1,610832771
HORN,SHELDON,036,02,0,168569915
BAKER,PHEBE,005,02,1,037331825
BOWERS,MADGE,022,05,0,321021503
ATKINS,BRENNA,031,01,0,668805433
MCCANN,POLLY,014,01,0,022201474
FREY,SCARLET,019,01,0,247240843
DAVIS,SYLVIA,051,00,1,233828453
MOON,CHARMAIN,021,00,0,568168572
SHAFFER,DAMON,037,02,0,511364779
FOWLER,LOIS,079,03,0,133066025
PROCTOR,FRANCISCO,020,02,0,112267807
GUTIERREZ,ROBERTO,040,00,0,257045974
CASE,VADA,002,00,0,017997861
CARROLL,WILTON,080,00,1,669970029
CAMPOS,DELMY,052,01,1,535219375
GRAVES,ROMEO,030,02,0,207034367
SHAFFER,ZACHARIAH,022,01,0,020226321
HARRIS,LAQUITA,020,00,0,003107540
COCHRAN,JONAS,005,02,1,380959190
BROCK,CLASSIE,002,03,0,275382131
LUNA,MARILYN,048,03,0,000619921
WHEELER,LISBETH,053,00,0,451383657
RIDDLE,KAZUKO,055,02,1,098579115
LYNN,RAMONITA,057,00,1,228855150
WALKER,WILLIAMS,020,03,1,002456161
CHAPMAN,KENNETH,047,01,0,003951142
PHILLIPS,NATIVIDAD,047,00,1,525543584
DUNN,ISADORA,056,02,0,596661055
WATTS,KANISHA,051,00,0,159935848
MCKAY,CARROLL,015,00,1,144358436
HUGHES,CARROLL,017,02,0,032581360
MALONE,TRINIDAD,015,01,0,073559160
FAULKNER,KATI,037,03,0,114420187
DOYLE,TERESE,060,01,1,457137177
NASH,CECILE,028,03,1,125147851
TYLER,SUE,019,03,0,007054726
DIXON,ADRIEN,046,02,0,421070587
WARREN,CAMERON,011,02,0,080671537
CARROLL,BRANDON,056,03,0,039072198
MEDINA,MARLON,088,01,1,149247991
WILEY,SHAE,061,09,1,000067420
COWAN,TONJA,009,03,1,009449583
MORENO,NICKOLE,016,02,1,144883497
MARSHALL,CARROLL,015,01,0,490867442
RICE,ANGELES,056,01,0,271084629
WARNER,JOSH,031,01,0,839112550
ARELLANO,NEOMA,056,00,0,253393902
MUNOZ,MAIRE,062,01,0,349393010
GILBERT,HONG,073,01,1,395797591
LAMBERT,OUIDA,003,01,0,013817857
MAHONEY,ROCHEL,044,01,1,302970111
RICH,ROSIA,019,00,0,764532395
VASQUEZ,REGINA,031,02,0,670669418
GREGORY,CARMINA,099,03,0,515583188
MONTGOMERY,PHUNG,013,03,0,176421357
HAMMOND,JULIUS,024,02,0,284666999
KIDD,ETHEL,043,00,1,168224639
FITZGERALD,NOEMI,043,01,1,070944913
MCKNIGHT,INDIA,066,02,1,252931670
BRIGGS,YULANDA,079,00,0,203779776
SOLIS,JEWELL,043,02,1,554617332
HOLLOWAY,CLIFTON,039,03,0,005829944
MCNEIL,ORPHA,111,00,1,903143187
SOTO,ROSELLE,077,02,1,419903332
WANG,MARX,041,00,1,242538572
HICKS,ABBY,020,02,0,355973882
FRAZIER,MARYA,009,01,1,938058837
DORSEY,ALONZO,036,00,1,461398893
BELL,MARLANA,055,03,1,406162208
BARAJAS,ARLINDA,019,00,1,512116439
HODGES,ELNA,035,01,1,077692300
ABBOTT,CHRYSTAL,007,05,0,988793854
BLANCHARD,NICHOLE,007,03,1,524519073
BRADFORD,DELFINA,077,03,1,673707669
RIVAS,JONATHON,010,01,0,331980263
SNOW,MAX,010,01,1,008317824
BROWNING,JACKIE,032,00,1,197860907
ESCOBAR,JENIFER,016,03,0,090336012
CARNEY,ALLYSON,026,00,0,184130455
SOSA,JOLYNN,033,00,0,103769757
PAYNE,JERRELL,005,02,0,299726998
ORR,BERNETTA,080,03,1,652589265
CONWAY,ELVERA,049,02,1,321925544
BLACKBURN,FRANKLIN,057,00,1,546021762
BALDWIN,SHANNA,035,00,0,012365766
PETERS,TIERA,030,03,0,218015359
HARRELL,DANE,036,03,1,224703363
MIRANDA,KELLI,036,02,0,245772338
CALLAHAN,JOSEF,003,00,1,017411910
VELASQUEZ,TAMIKO,003,00,0,333120422
HOUSE,ALLISON,015,01,1,166402842
RAYMOND,NORIKO,101,01,1,909759919
WOOD,DELPHA,012,06,0,194875117
IRWIN,HAYDEE,018,02,0,281343307
ZUNIGA,MELDA,043,03,1,166955489
BOWEN,CRISTOBAL,055,02,0,390331790
MANN,HILTON,112,01,0,156450196
BEARD,DANIEL,029,00,0,240348273
AYERS,EUGENA,050,00,0,246156304
WADE,ELEONOR,032,01,0,258934606
COLON,SENA,033,00,1,374302973
TREVINO,LESLIE,036,02,1,243011997
MCINTYRE,GARFIELD,033,00,0,327919918
STONE,ROWENA,049,00,1,247747375
COBB,MARCUS,011,01,0,597881176
CALLAHAN,EILEEN,111,03,0,773985914
DOMINGUEZ,BERNARDINE,060,00,0,306660237
MORTON,ARDIS,025,03,0,186892806
GLASS,GERTUDE,011,01,0,293279029
GEORGE,HERBERT,071,03,0,061456752
HUNTER,CHERRI,005,01,0,115809343
SCHULTZ,CARLOTA,043,00,0,285058667
PERKINS,MAKEDA,008,00,0,201499761
GALVAN,POK,058,03,0,202126197
MAY,HERTA,007,03,0,164532489
CHRISTENSEN,MITSUE,011,06,1,529896336
FRANCIS,JESENIA,038,02,0,024245299
SIMS,RITA,037,03,1,080283239
DIAZ,TISA,002,00,1,256515354
PADILLA,TANESHA,015,03,1,574953339
GALLAGHER,GEORGE,010,00,0,442180915
COOK,BERTIE,023,02,1,063121143
HAYDEN,ANDREA,026,02,1,860638406
BEASLEY,PRESTON,038,02,0,002643919
JARVIS,YI,030,01,1,198395921
CROSS,KRISTY,003,01,1,555221553
BENTON,INES,041,03,1,736876649
GATES,STERLING,010,01,0,329879844
MARQUEZ,WENDIE,031,03,1,127023196
HARTMAN,THAO,035,02,1,366137586
MILES,RENE,041,02,1,718091532
THOMAS,KEVA,042,02,1,027830109
CALDERON,ELIN,052,01,1,012352765
OBRIEN,RICHARD,001,02,1,837210985
VILLEGAS,MAJORIE,052,03,0,063225113
HOLLOWAY,EULAH,005,02,1,238081774
FITZGERALD,BLAKE,013,03,1,456906775
BARKER,RONNIE,037,03,0,548798675
WEST,LANI,058,03,0,004371778
SWEENEY,ROZELLA,016,00,0,142493090
WU,BERYL,013,00,0,360329494
RUSH,LUISA,017,00,0,432014447
MURPHY,FABIAN,035,00,1,280257670
GILL,SHALANDA,016,01,0,037527614
HERRERA,RONALD,017,03,0,310184370
BLAKE,BURL,015,03,1,326007033
YODER,KRYSTLE,068,03,0,162082525
SWANSON,RAMON,014,02,0,369144708
HATFIELD,RORY,084,03,0,259655404
HESS,ERNIE,044,02,0,787303678
SANTIAGO,MYRL,067,03,1,041436550
REYES,VERN,002,01,1,092432303
HICKMAN,BURL,012,03,1,175392726
HOOPER,MA,029,00,1,488602405
GILL,CARRIE,044,01,1,379374519
SIMPSON,DENA,050,02,0,427930859
WILKINSON,ALAINE,004,01,1,199574623
RAMIREZ,RICKIE,055,03,0,035517289
HENDERSON,CLYDE,051,02,0,433360784
PARSONS,MARICA,024,00,0,261823381
BEARD,LANE,019,00,0,181259018
CONNER,CORINE,045,03,1,059322781
AYALA,BIRDIE,011,01,0,316812587
PHILLIPS,ESTELL,018,03,0,019490924
TURNER,CAROYLN,053,02,1,373229136
KRUEGER,GREGORIA,050,03,1,177937605
CAMPOS,GIDGET,002,02,0,027292966
HENRY,DERRICK,026,01,1,061418992
CROSBY,KRISTY,070,02,0,834630481
FRANKLIN,JUNITA,027,03,0,007873294
VALENZUELA,ALONZO,026,00,0,197335991
LEE,ADAH,024,03,1,041780115
FITZPATRICK,PEARL,041,01,0,552211008
PACHECO,DIANA,030,01,0,695683198
GOMEZ,CHANELLE,050,03,0,199023006
MCCALL,ADRIA,010,01,0,117989931
PARRISH,TAD,045,01,1,215088263
MARSHALL,DOLLY,026,03,1,209499731
BLAIR,JOHANNE,027,00,0,400140681
TURNER,LOYD,002,01,1,606641680
PORTER,ADELAIDE,009,01,0,416158564
HAYES,BRIGETTE,045,01,1,931562309
OCONNOR,LAWANNA,033,00,0,413597046
HUERTA,LOURA,074,06,1,121415774
TRUJILLO,CELESTINE,006,01,1,000271572
PEARSON,ROBENA,045,00,0,427178672
SCHROEDER,SHARICE,043,02,0,226195439
TRAN,ESTHER,019,02,1,188647518
KLEIN,DOMINGO,017,01,1,109467608
SCHULTZ,CHRISTIE,012,00,1,235897878
FITZPATRICK,FELIX,055,01,0,119836266
SHORT,ZOE,051,00,1,180898205
PETTY,MERI,012,01,1,466842675
LARSON,ZONA,053,00,1,060734703
CHAMBERS,JACINTA,039,00,1,104380509
BURKE,LONA,018,01,1,119173482
MANNING,SAMANTHA,030,02,1,623375635
FULLER,GAYLENE,010,01,1,448072599
MORENO,SHIRLEY,022,02,0,114323823
BOONE,JAMILA,019,01,1,010193687
BRAUN,KRISTIAN,020,03,1,108241179
ANDREWS,ALPHA,017,00,1,017829153
MCGEE,GEORGIA,034,02,1,347327977
BEST,GLENN,035,03,0,102630171
VILLARREAL,GOLDIE,042,01,1,291730432
SOLIS,CLINTON,017,02,0,085890645
CRUZ,PHILLIP,010,01,1,702216347
CASTANEDA,SHILA,026,00,0,000162709
CHOI,ANGELO,049,03,1,060096014
ESCOBAR,ALLYSON,056,00,0,260745004
SMALL,CHRISTI,002,03,0,262582606
MCMAHON,MARCIA,106,02,1,204041863
HARVEY,WANETTA,057,03,0,515947173
TERRY,JOHNNY,005,01,0,829982101
LEON,NICKY,034,02,1,014447351
ATKINSON,ELVA,043,02,0,078079809
DAVIDSON,MARYALICE,033,02,1,110194216
CARROLL,MELONY,055,01,0,461685688
JAMES,KEVA,017,01,1,397441724
SHEPPARD,FRANKLIN,031,02,1,118176221
FARRELL,JANN,022,01,0,167814477
KEITH,MARVIS,019,02,0,417722560
INGRAM,EDEN,113,01,0,119807884
MARSHALL,DEONNA,013,02,0,001177135
MORAN,RANDI,019,02,1,259295898
LYONS,ROY,047,00,1,287670765
MASON,DIAMOND,050,01,1,174722614
KIRBY,ERIK,040,02,0,274565224
WERNER,MALCOLM,004,03,0,015567430
TODD,VIKI,030,03,0,168348104
HENRY,MARIELLA,038,03,0,248347738
MELENDEZ,BESS,037,02,1,039080995
BRIGHT,MATTHEW,060,00,1,297376147
MACK,ALANE,027,02,0,297882548
BIRD,MOLLY,005,03,0,203491069
HARVEY,JONELL,013,01,0,648498709
MAYNARD,SUANNE,073,03,1,102950821
HOOPER,EMERY,004,01,0,006310789
POTTER,SHELLY,058,02,1,383036573
TATE,DELPHINE,071,03,0,130347940
GATES,YONG,025,03,0,201908745
BAUTISTA,JADA,043,02,1,039783522
STEPHENS,ELFRIEDA,058,03,1,381058203
STOUT,WILLARD,014,00,1,172668861
CUNNINGHAM,JACKELINE,034,00,0,018291110
SANTANA,CHRISTIAN,027,03,0,098898102
ROBERSON,KURT,045,01,0,142584006
ROSALES,DANNY,025,00,1,005452032
HERNANDEZ,MAPLE,052,00,0,211100569
ALLISON,ELIAS,049,03,1,094136598
WATERS,CAYLA,028,01,1,066382408
HAYDEN,DOUGLAS,030,02,1,701951556
HOLLOWAY,GERTRUD,023,03,0,384296562
SHEA,ARDELLA,024,00,0,359141942
TREVINO,LEON,057,01,0,017149443
FLYNN,ZACK,004,02,0,845677662
CHRISTENSEN,KRISTYN,042,02,1,097161694
SERRANO,HOLLI,016,01,1,405179226
MELTON,CLEO,001,03,1,014392475
VALDEZ,TIANNA,006,03,1,037863318
HUBBARD,JERROLD,020,03,1,017016407
ROBLES,ALEJANDRINA,014,03,0,764848650
PARSONS,WILLIEMAE,038,01,0,454106806
DELEON,DOUGLASS,056,02,0,428384215
BARTON,LECIA,044,02,0,357220013
CASTANEDA,SUANNE,057,03,0,208121249
HORTON,ELBA,016,01,0,373569925
HUANG,QUINN,050,02,1,282084529
